COL_NAME
MCDOWELL-N
MARICO
MUTHOOTFIN
PIDILITIND
GAIL
TORNTPHARM
BERGEPAINT
DABUR
NYKAA
ICICIGI
INDIGO
COLPAL
HDFCAMC
ZOMATO
BANKBARODA
SIEMENS
GODREJCP
BAJAJHLDNG
ABB
DLF
CHOLAFIN
PAGEIND
BOSCHLTD
ICICIPRULI
PIIND
CANBK
LTIM
TATAPOWER
VEDL
DMART
SHREECEM
ADANIGREEN
MOTHERSON
SRF
INDUSTOWER
NAUKRI
IRCTC
LICI
SBICARD
BEL
IOC
ATGL
ACC
HAVELLS
AWL
HAL
VBL
AMBUJACEM
ADANITRANS
PGHH
