Scrip Code,COMPANY,ISIN No.,Close Price
512599,Adani Enterprises Ltd,INE423A01024,3194.15
532921,Adani Ports and Special Economic Zone,INE742F01042,1266.5
500425,Ambuja Cements Ltd,INE079A01024,571.8
533758,APL Apollo Tubes Ltd,INE702C01027,1419.35
508869,Apollo Hospitals Enterprise Ltd,INE437A01024,6627.5
500477,Ashok Leyland Ltd,INE208A01029,174.5
500820,Asian Paints Ltd,INE021A01026,3015.7
540611,AU Small Finance Bank Ltd,INE949L01017,581.7
540376,Avenue Supermarts Ltd,INE192R01011,3677.95
532215,Axis Bank Ltd,INE238A01034,1072.6
532977,Bajaj Auto Ltd,INE917I01010,8120.6
500034,Bajaj Finance Ltd,INE296A01024,6619.9
532978,Bajaj Finserv Ltd,INE918I01026,1569.45
500490,Bajaj Holdings and Investment Ltd,INE118A01012,8782.55
532134,Bank of Baroda,INE028A01039,275.55
500049,Bharat Electronics Ltd,INE263A01024,185.9
500493,Bharat Forge Ltd,INE465A01025,1110.1
500547,Bharat Petroleum Corp Ltd,INE029A01011,652.45
532454,Bharti Airtel Ltd,INE397D01024,1121.15
500825,Britannia Industries Ltd.,INE216A01030,4949.7
511243,Cholamandalam Investment & Finance Co. Ltd.,INE121A01024,1124.1
500087,Cipla Ltd/India,INE059A01026,1422.85
533278,Coal India Ltd,INE522F01014,476.7
500830,Colgate-Palmolive India Ltd,INE259A01022,2589
500096,Dabur India Ltd,INE016A01026,544.25
532488,Divi's Laboratories Ltd,INE361B01024,3710.65
532868,DLF Ltd,INE271C01023,850.95
500124,Dr Reddy's Laboratories Ltd,INE089A01023,6253.8
505200,Eicher Motors Ltd,INE066A01021,3914.8
500469,Federal Bank Ltd,INE171A01029,156.6
532155,Gail India Ltd,INE129A01019,184.2
532424,Godrej Consumer Products Ltd,INE102D01028,1231.65
500300,Grasim Industries Ltd,INE047A01021,2082.85
517354,Havells India Ltd,INE176B01034,1380.55
532281,HCL Technologies Ltd,INE860A01027,1661.8
500180,HDFC Bank Ltd,INE040A01034,1413.75
540777,HDFC Life Insurance Company Ltd,INE795G01014,585.25
500182,Hero MotoCorp Ltd,INE158A01026,4818.55
500440,Hindalco Industries Ltd,INE038A01020,513.35
541154,Hindustan Aeronautics Ltd,INE066F01020,3022.7
500696,Hindustan Unilever Ltd,INE030A01027,2351.1
532174,ICICI Bank Ltd,INE090A01021,1017.15
540716,ICICI Lombard General Insurance Company Ltd,INE765G01017,1649.95
540133,ICICI Prudential Life Insurance Company Ltd,INE726G01019,504.8
539437,IDFC First Bank Ltd,INE092T01019,81.23
500850,Indian Hotels Co Ltd,INE053A01029,527.5
530965,Indian Oil Corp Ltd,INE242A01010,189.9
542830,Indian Railway Catering and Tourism Corporation Ltd,INE335Y01020,951.3
532187,IndusInd Bank Ltd,INE095A01012,1477.1
532777,Info Edge (India) Ltd.,INE663F01024,5159.35
500209,Infosys Ltd,INE009A01021,1677.6
539448,InterGlobe Aviation Ltd,INE646L01027,3029.25
500875,ITC Ltd,INE154A01025,404
500228,JSW Steel Ltd,INE019A01038,812.15
533155,Jubilant FoodWorks Ltd,INE797F01020,478.6
500247,Kotak Mahindra Bank Ltd,INE237A01028,1740.35
500510,Larsen & Toubro Ltd,INE018A01030,3300.5
540005,LTIMindtree Ltd,INE214T01019,5521.8
500257,Lupin Ltd,INE326A01037,1605.15
500520,Mahindra & Mahindra Ltd,INE101A01026,1765.55
531642,Marico Ltd,INE196A01026,520.75
532500,Maruti Suzuki India Ltd,INE585B01010,11087.8
543220,Max Healthcare Institute Ltd,INE027H01010,864.1
500790,Nestle India Ltd,INE239A01024,2453.7
532555,NTPC Ltd,INE733E01010,339.65
500312,Oil & Natural Gas Corp Ltd,INE213A01029,277.1
532827,Page Industries Ltd,INE761H01022,36291.9
