COLNAME
DRREDDY
ASIANPAINT
BHARTIARTL
NTPC
HCLTECH
HDFC
BAJAJ-AUTO
TATACONSUM
NESTLEIND
SUNPHARMA
HDFCBANK
BRITANNIA
ICICIBANK
HINDUNILVR
M&M
APOLLOHOSP
TECHM
BAJAJFINSV
COALINDIA
KOTAKBANK
ITC
BAJFINANCE
WIPRO
RELIANCE
TCS
CIPLA
EICHERMOT
MARUTI
AXISBANK
SBILIFE
LT
JSWSTEEL
UPL
ULTRACEMCO
INFY
TITAN
HEROMOTOCO
SBIN
POWERGRID
HDFCLIFE
TATAMOTORS
ONGC
TATASTEEL
GRASIM
DIVISLAB
HINDALCO
BPCL
ADANIPORTS
ADANIENT
INDUSINDBK
