Scrip Code,COMPANY,ISIN No.,Close Price
542772,360 ONE WAM Ltd,INE466L01038,776.5
523395,3M India Ltd,INE470A01017,33350.4
524348,Aarti Drugs Ltd,INE767A01016,475.15
524208,Aarti Industries Ltd.,INE769A01020,610.8
541988,AAVAS Financiers Ltd,INE216P01012,1601.9
500002,ABB India Ltd,INE117A01022,8316.85
500488,Abbott India Ltd,INE358A01014,25875.95
500410,ACC Ltd,INE012A01025,2546.15
539254,Adani Energy Solutions Ltd,INE931S01010,1122.8
512599,Adani Enterprises Ltd,INE423A01024,3411.45
541450,Adani Green Energy Ltd,INE364U01010,1915.25
532921,Adani Ports and Special Economic Zone,INE742F01042,1437.7
533096,Adani Power Ltd,INE814H01011,756.65
542066,Adani Total Gas Limited,INE399L01023,1039.15
543458,Adani Wilmar Ltd,INE699H01024,355.85
540691,Aditya Birla Capital Ltd,INE674K01013,223.85
535755,Aditya Birla Fashion and Retail Ltd,INE647O01011,287.7
543374,Aditya Birla Sun Life AMC LTd,INE404A01024,523.95
500003,Aegis Logistics Ltd,INE208C01025,710.3
543534,Aether Industries Ltd,INE0BWX01014,804.1
542752,Affle (India) Ltd,INE00WC01027,1135.3
532683,AIA Engineering Ltd,INE212H01026,3675.35
532331,Ajanta Pharma Ltd,INE031B01049,2332.9
500710,Akzo Nobel India Ltd,INE133A01011,2566.8
533573,Alembic Pharmaceuticals Ltd,INE901L01018,923
539523,Alkem Laboratories Ltd,INE540L01014,4811.95
506767,Alkyl Amines Chemicals Ltd,INE150B01039,1895.4
521070,Alok Industries Ltd,INE270A01029,25.53
500008,Amara Raja Energy & Mobility Ltd,INE885A01032,1181.8
540902,Amber Enterprises India Ltd,INE371P01015,3595.6
500425,Ambuja Cements Ltd,INE079A01024,634.3
543235,Angel One Limited,INE732I01013,2462.2
543275,Anupam Rasayan India Ltd,INE930P01018,762.85
532259,Apar Industries Ltd,INE372A01015,7861.95
533758,APL Apollo Tubes Ltd,INE702C01027,1501.7
508869,Apollo Hospitals Enterprise Ltd,INE437A01024,5839.95
500877,Apollo Tyres Ltd,INE438A01022,463.7
543335,Aptus Value Housing Finance India Ltd,INE852O01025,300
543657,Archean Chemical Industries Ltd,INE128X01021,619.55
515030,Asahi India Glass Ltd,INE439A01020,588.1
500477,Ashok Leyland Ltd,INE208A01029,224
500820,Asian Paints Ltd,INE021A01026,2877.7
540975,Aster DM Healthcare Ltd,INE914M01019,362.8
532830,ASTRAL LIMITED,INE006I01046,2096.15
506820,AstraZeneca Pharm India,INE203A01020,6162.45
500027,Atul Ltd.,INE100A01010,5622.95
540611,AU Small Finance Bank Ltd,INE949L01017,652.4
524804,Aurobindo Pharma Ltd,INE406A01037,1187
512573,Avanti Feeds Ltd,INE871C01038,511.25
540376,Avenue Supermarts Ltd,INE192R01011,4305.7
532215,Axis Bank Ltd,INE238A01034,1161.75
532977,Bajaj Auto Ltd,INE917I01010,9082.45
500034,Bajaj Finance Ltd,INE296A01024,6702.5
532978,Bajaj Finserv Ltd,INE918I01026,1528.45
500490,Bajaj Holdings and Investment Ltd,INE118A01012,7943.75
530999,Balaji Amines Ltd,INE050E01027,2090.9
502355,Balkrishna Industries Ltd,INE787D01026,3049.85
500038,Balrampur Chini Mills Ltd,INE119A01028,378.5
541153,Bandhan Bank Ltd,INE545U01014,188.15
532134,Bank of Baroda,INE028A01039,265.15
532149,Bank of India,INE084A01016,128.7
532525,Bank Of Maharashtra,INE457A01014,69.04
500042,BASF India Limited,INE373A01013,4264.25
500043,Bata India Ltimited,INE176A01028,1361.65
506285,Bayer CropScience Ltd/India,INE462A01022,5006.7
509480,Berger Paints India Ltd,INE463A01038,459.55
541143,Bharat Dynamics Ltd,INE171Z01026,1557.25
500049,Bharat Electronics Ltd,INE263A01024,296.1
500493,Bharat Forge Ltd,INE465A01025,1555.1
500103,Bharat Heavy Electricals Ltd,INE257A01026,298.95
500547,Bharat Petroleum Corp Ltd,INE029A01011,627.6
532454,Bharti Airtel Ltd,INE397D01024,1371.85
543653,Bikaji Foods International Ltd,INE00E101023,594.9
532523,Biocon Ltd,INE376G01013,309.3
500335,Birla Corp Ltd,INE340A01012,1410.2
532400,Birlasoft Ltd,INE836A01035,604.35
540073,BLS International Services Ltd,INE153T01027,311.2
526612,Blue Dart Express Ltd,INE233B01017,7231.15
500067,Blue Star Ltd,INE472A01039,1588.5
501425,Bombay Burmah Trading Corp Ltd.,INE050A01025,1467.8
502219,Borosil Renewables Ltd,INE666D01022,471.55
500530,Bosch Ltd,INE323A01026,30374.8
532929,Brigade Enterprises Ltd,INE791I01019,1284.55
500825,Britannia Industries Ltd.,INE216A01030,5172.5
543425,C.E. Info Systems Ltd,INE0BV301023,1916.55
543523,Campus Activewear Ltd,INE278Y01022,277.15
511196,Can Fin Homes Ltd,INE477A01020,727.8
532483,Canara Bank,INE476A01022,118
524742,Caplin Point Laboratories Ltd,INE475E01026,1289.65
531595,Capri Global Capital  LTD,INE180C01042,211.7
513375,Carborundum Universal Ltd,INE120A01034,1592.7
500870,Castrol India Ltd,INE172A01027,194.65
519600,CCL Products (India) Ltd.,INE421D01022,570.6
500878,CEAT Ltd,INE482A01020,2354.85
532885,Central Bank of India,INE483A01010,64.68
532548,Century Plyboards India Ltd,INE348B01021,650
500040,Century Textile & Industries Ltd,INE055A01016,2019.65
532443,Cera Sanitaryware Ltd,INE739E01017,7006.15
500084,CESC Ltd,INE486A01021,147.25
500093,CG Power and Industrial Solutions Ltd,INE067A01029,643.6
542399,Chalet Hotels Ltd,INE427F01016,784.6
500085,Chambal Fertilizers & Chemicals Ltd,INE085A01013,389.15
543336,Chemplast Sanmar Ltd,INE488A01050,470.3
504973,Cholamandalam Financial Holdings Ltd,INE149A01033,1082.9
511243,Cholamandalam Investment & Finance Co. Ltd.,INE121A01024,1239.95
532756,CIE Automotive India Ltd,INE536H01010,532.75
500087,Cipla Ltd/India,INE059A01026,1448.15
532210,City Union Bank Ltd.,INE491A01021,143
543318,Clean Science and Technology Ltd,INE227W01023,1307.4
533278,Coal India Ltd,INE522F01014,491.25
540678,Cochin Shipyard Ltd,INE704P01025,1947.65
532541,Coforge Ltd,INE591G01017,4973.15
500830,Colgate-Palmolive India Ltd,INE259A01022,2654.25
543232,Computer Age Management Services Ltd,INE596I01012,3479.2
531344,Container Corp Of India,INE111A01025,1077.65
506395,Coromandel International Ltd,INE169A01031,1306.45
543276,Craftsman Automation Ltd,INE00LO01017,4236.9
541770,CreditAccess Grameen Ltd,INE741K01010,1322.25
500092,CRISIL Ltd,INE007A01025,4103.6
539876,Crompton Greaves Consumer Electricals Ltd,INE299U01018,392.25
542867,CSB Bank Ltd,INE679A01013,329.6
500480,Cummins India Ltd,INE298A01020,3552.7
532175,Cyient Ltd,INE136B01020,1733.9
500096,Dabur India Ltd,INE016A01026,546.05
542216,Dalmia Bharat Ltd,INE00R701025,1774.95
543428,Data Patterns (India) Ltd,INE0IX101010,2960.4
523367,DCM Shriram Ltd,INE499A01024,990.55
500645,Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,568.25
506401,Deepak Nitrite Limited,INE288B01029,2189.4
543529,Delhivery Limited,INE148O01028,384.75
532848,Delta Corp. Ltd.,INE124G01033,114.1
543330,Devyani International Ltd,INE872J01023,153.3
532488,Divi's Laboratories Ltd,INE361B01024,4309.95
540699,Dixon Technologies (India) Ltd,INE935N01020,9395.95
532868,DLF Ltd,INE271C01023,816.6
500124,Dr Reddy's Laboratories Ltd,INE089A01023,5787.55
539524,Dr. Lal PathLabs Ltd,INE600L01024,2647
543272,Easy Trip Planners Ltd,INE07O001026,41.93
532927,eClerx Services Ltd,INE738I01010,2193.45
505200,Eicher Motors Ltd,INE066A01021,4727.25
500125,EID Parry India Ltd,INE126A01031,667.8
500840,EIH Ltd,INE230A01023,432.35
522074,Elgi Equipments Ltd.,INE285A01027,611.15
531162,Emami Ltd,INE548C01032,624.15
540153,Endurance Technologies Ltd,INE913H01037,2217.65
532178,Engineers India Ltd,INE510A01028,247.9
500135,EPL Ltd,INE255A01020,182.4
543243,Equitas Small Finance Bank Ltd,INE063P01018,92.45
540596,Eris Lifesciences Ltd,INE406M01024,916.2
500133,Esab India Ltd,INE284A01012,5322.35
500495,Escorts Ltd,INE042A01014,3816.35
543482,Eureka Forbes Limited,INE0KCE01017,433.85
500086,Exide Industries Ltd,INE302A01020,488.25
531599,FDC Ltd,INE258B01022,432.8
500469,Federal Bank Ltd,INE171A01029,161.95
541557,Fine Organic Industries Ltd,INE686Y01026,4431.85
500144,Finolex Cables Ltd,INE235A01022,1434.9
500940,Finolex Industries Ltd,INE183A01024,312.4
532809,Firstsource Solutions Ltd,INE684F01012,183.45
543663,Five-Star Business Finance Ltd,INE128S01021,755.7
532843,Fortis Healthcare Ltd.,INE061F01013,475.95
543384,FSN E-Commerce Ventures Ltd,INE388Y01029,164.35
543317,G R Infraprojects Ltd,INE201P01022,1618.4
532155,Gail India Ltd,INE129A01019,204.35
540935,Galaxy Surfactants Ltd,INE600K01018,2449.8
509557,Garware Technical Fibres Ltd,INE276A01018,3464.2
540755,General Insurance Corporation of India,INE481Y01014,356.05
507815,Gillette India Ltd,INE322A01010,7148.15
543245,Gland Pharma Ltd,INE068V01023,1839.15
500660,GlaxoSmithKline Pharmaceuticals Ltd,INE159A01016,2630.6
532296,Glenmark Pharmaceuticals Ltd,INE935A01035,1160.75
543654,Global Health Ltd,INE474Q01031,1192.9
505255,GMM Pfaudler Limited,INE541A01023,1234.35
532754,GMR Airports Infrastructure Ltd,INE776C01039,84.6
500163,Godfrey Phillips India Ltd,INE260B01028,3894.9
540743,Godrej Agrovet Ltd,INE850D01014,518.85
532424,Godrej Consumer Products Ltd,INE102D01028,1269.65
500164,Godrej Industries Ltd,INE233A01035,786.25
533150,Godrej Properties Ltd,INE484J01027,2779.2
532482,Granules India Ltd,INE101D01020,418.15
509488,Graphite India Ltd.,INE371A01025,565.55
500300,Grasim Industries Ltd,INE047A01021,2319.6
500620,Great Eastern Shipping Co Ltd/The,INE017A01032,1076
506076,Grindwell Norton Ltd,INE536A01023,2561.4
530001,Gujarat Alkalies & Chemicals Ltd.,INE186A01019,757.8
524226,Gujarat Ambuja Exports Ltd,INE036B01030,143.15
542812,Gujarat Fluorochemicals Ltd,INE09N301011,3042.7
539336,Gujarat Gas Ltd,INE844O01030,551.7
500670,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,633.55
533248,Gujarat Pipavav Port Ltd,INE517F01014,194.2
500690,Gujarat State Fertilisers & Chemicals Ltd,INE026A01025,210.55
532702,Gujarat State Petronet Ltd,INE246F01010,289.75
543227,Happiest Minds Technologies Ltd,INE419U01012,788.95
531531,Hatsun Agro Products Ltd,INE473B01035,1005.35
517354,Havells India Ltd,INE176B01034,1909
532281,HCL Technologies Ltd,INE860A01027,1322.8
541729,HDFC Asset Management Company Ltd,INE127D01025,3881.75
500180,HDFC Bank Ltd,INE040A01034,1530.85
540777,HDFC Life Insurance Company Ltd,INE795G01014,550.1
509631,HEG Ltd,INE545A01016,2295.1
500182,Hero MotoCorp Ltd,INE158A01026,5119.6
