Scrip Code,COMPANY,ISIN No.,Close Price
543526,Life Insurance Corporation of India,INE0J1Y01017,1037.25
523457,Linde India Ltd,INE473A01011,5431.65
540005,LTIMindtree Ltd,INE214T01019,5216.35
500257,Lupin Ltd,INE326A01037,1669.05
543287,Macrotech Developers Ltd,INE670K01029,1181.3
532720,Mahindra & Mahindra Financial Services Ltd,INE774D01024,287.3
500520,Mahindra & Mahindra Ltd,INE101A01026,1920.9
543904,Mankind Pharma Ltd,INE634S01028,2159.6
531642,Marico Ltd,INE196A01026,524
532500,Maruti Suzuki India Ltd,INE585B01010,11595.3
500271,Max Financial Services Ltd,INE180A01020,1001.45
543220,Max Healthcare Institute Ltd,INE027H01010,747.55
526299,MphasiS Ltd,INE356A01018,2597.9
500290,MRF Ltd,INE883A01011,146150.1
533398,Muthoot Finance Ltd,INE414G01012,1337.3
500790,Nestle India Ltd,INE239A01024,2588
533098,NHPC Ltd,INE848E01016,89.13
526371,NMDC Ltd,INE584A01023,240.15
532555,NTPC Ltd,INE733E01010,353.8
533273,Oberoi Realty Ltd,INE093I01010,1385
500312,Oil & Natural Gas Corp Ltd,INE213A01029,279.2
533106,Oil India Ltd,INE274J01014,624.75
543396,One 97 Communications Ltd,INE982J01020,418.5
532466,Oracle Financial Services Software Ltd,INE881D01027,7775.45
532827,Page Industries Ltd,INE761H01022,35471.6
500368,Patanjali Foods Limited,INE619A01035,1599.85
543390,PB Fintech Ltd,INE417T01026,1105.85
533179,Persistent Systems Ltd,INE262H01013,8467.05
532522,Petronet LNG Ltd,INE347G01014,291.1
523642,PI Industries Ltd,INE603J01030,3617.9
500331,Pidilite Industries Ltd,INE318A01026,2701.05
542652,Polycab India Ltd,INE455K01017,4780.05
532810,Power Finance Corp Ltd,INE134E01011,421.35
532898,Power Grid Corp of India Ltd,INE752E01010,294.45
500459,Procter & Gamble Hygiene & Health Care Ltd,INE179A01014,15924.55
532461,Punjab National Bank,INE160A01022,126.1
532955,REC Ltd,INE020B01018,464.75
530517,Relaxo Footwears Ltd,INE131B01039,830.65
500325,Reliance Industries Ltd,INE002A01018,3011.6
517334,Samvardhana Motherson International Ltd,INE775A01035,119.45
543066,SBI Cards and Payment Services Limited,INE018E01016,717
540719,SBI Life Insurance Company Ltd,INE123W01016,1517.95
505790,Schaeffler India Ltd,INE513A01022,2865.6
500387,Shree Cement Ltd,INE070A01015,25709.45
511218,Shriram Finance Ltd,INE721A01013,2444.2
500550,Siemens India Ltd,INE003A01024,4688
532725,Solar Industries India Ltd,INE343H01029,7292.7
543300,Sona BLW Precision Forgings Ltd,INE073K01018,672.85
503806,SRF Ltd,INE647A01010,2374.15
543412,Star Health and Allied Insurance Company Ltd,INE575P01011,557.5
500112,State Bank of India,INE062A01020,772.15
500113,Steel Authority of India Ltd,INE114A01011,141.6
524715,Sun Pharmaceutical Industries Ltd,INE044A01036,1552.25
509930,Supreme Industries,INE195A01028,4041.6
539268,Syngene International Ltd,INE398R01022,697.75
500483,Tata Communications Ltd,INE151A01013,1983.55
532540,Tata Consultancy Services Ltd,INE467B01029,4081.6
500800,Tata Consumer Products Ltd,INE192A01025,1202.4
500408,Tata Elxsi Ltd,INE670A01012,7689.45
500570,Tata Motors Ltd,INE155A01022,987.2
570001,Tata Motors Ltd DVR,IN9155A01020,660
500400,Tata Power Co Ltd,INE245A01021,391.7
500470,Tata Steel Ltd,INE081A01020,153.1
532755,Tech Mahindra Ltd,INE669C01036,1280.1
500114,Titan Co Ltd,INE280A01028,3731.85
500420,Torrent Pharmaceuticals Ltd,INE685A01028,2689.9
532779,Torrent Power Ltd,INE813H01021,1145.9
500251,Trent Ltd.,INE849A01020,3916.8
540762,Tube Investments Of India,INE974X01010,3649.25
532343,TVS Motor Co Ltd,INE494B01023,2232.7
532505,UCO Bank,INE691A01018,56.21
532538,UltraTech Cement Ltd,INE481G01011,9983.8
532477,Union Bank of India,INE692A01016,148.85
532478,United Breweries Ltd,INE686F01025,1712.4
532432,United Spirits Ltd,INE854D01024,1164.9
532539,UNO Minda Ltd,INE405E01023,641.35
512070,UPL Ltd,INE628A01036,474.3
540180,Varun Beverages Ltd,INE200M01021,1426.55
543463,Vedant Fashions Ltd,INE825V01034,1011.65
500295,Vedanta Ltd,INE205A01025,276.45
532822,Vodafone Idea Ltd,INE669E01016,14.19
500575,Voltas Ltd,INE226A01021,1109.55
507685,Wipro Ltd,INE075A01022,520.25
532648,Yes Bank Ltd,INE528G01035,24.8
505537,Zee Entertainment Enterprises Ltd,INE256A01028,155
543320,Zomato Ltd,INE758T01015,169.75
532321,Zydus Lifesciences Ltd,INE010B01027,946.1
